asset_type,asset_sub_type,asset_sub_type_description,business_function,business_activity,retention_period,retention_reason,security_title,action_on_expiry,reason_for_action,appraisal_criteria,authorised_by,authorisation_date,master,classification_code,notes,keywords
Documents,Project Governance,"Overview of Project management such as processes, methodology etc.",STRATEGIC MANAGEMENT AND DIRECTION,Project Management,Completion of project+7,Business Need,Restricted Access,Review,Possible Historical Interest,Project Documentation,_Records Management,01/09/2008,Departments,SM-ProjectMan-001,,
Documents,Personal Details,"Includes next of kin details, passport details/scans, CVs, NI numbers, mobile numbers, names and addresses.",PRODUCTION,Talent Management,Until Superseded,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,Production Talent Network,01/06/2009,Vision Productions,PR-TalentMan-005, ,
Documents,CRB Tracking Information,"Spreadsheet of Tracking Information and Disclosure Numbers. Contains no sensitive data only, name, dob, role, application number, date.",PERSONNEL,Recruitment,Permanent,Business Need,Restricted Access,Archive,Business Need,N/A,Vision,01/05/2011,Production Office,PE-Recruit-013,Info may be sent to HR for central management  ,
Documents,Research,Research carried out for productions. Includes research on artists,PRODUCTION,Content Creation,3 years,Business Need,Restricted Access,Review,Possible Historical Interest,Programme Research,Vision,01/05/2011,Production Office,PR-Content-003,,
Documents,Right to Work Documents,Documents relating to the right of the individual to work in the UK. Retained by the BBC as proof of this right to work.,PERSONNEL,Recruitment,Cessation+6,Legal,Restricted Access,Destroy,No Further Value,N/A,BBC People,01/01/2013,BBC People,PE-Recruit-007,As part of the staff file these records are kept by the BBC for 6 years afer cessation of employment not the minimum 2 or the advised 6 years. http://www.businesslink.gov.uk/bdotg/action/detail?itemId=1074450470&type=RESOURCES   ,
Documents,Health and Safety Records,,PERSONNEL,Health and Safety,6 years,Independent Commissioning Policy,Restricted Access,Destroy,Legal,N/A,Head of Safety Policy and Compliance,01/09/2011,Commissioners Programme Files,PE-HealthSafe-040, ,
Documents,Solutions,,ENGINEERING AND TECHNOLOGY,Technical Development,3 years,Business Need, N/A,Destroy,No Further Value,N/A,_Records Management,01/06/2005, N/A,ET-Technical,,
Documents,Correspondence,Communication between one party and another by letter or e-mail,LEGAL AND CONTRACTS,Conveyancing,Current+6,Business Need,Restricted Access,Review,BBC Best Practice,N/A,Property Legal,01/10/2005,BBC Property Solicitors,LC-Conveyance-003,,
Documents,Sign Off Sheets,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Review,Possible Historical Interest,Project Documentation,BBC PMO,01/05/2013,Departments,SM-ProjectMan-002,,
Documents,Audience Competitions and Voting,"All relevant data regarding votes and competition entries, including premium rate telephony, and all documentation regarding the verification of its systems and the reviews of individual programmes. .",COMMUNICATIONS AND MARKETING,Public Relations,2 years,Business Need,Restricted Access,Review,Legal,Competitions and Voting,Vision,01/05/2011, N/A,CM-PublicRels-012,"Includes, Competition Winners Records, Lists of Competition entrants, non-winners, Premium Rate Telephony, ITACU Information, Summary of Process",
Documents,Digital Switchover Help Scheme - Responders,"People who have responded to the Digital Switchover Help Scheme, but have not received assistance.",ENGINEERING AND TECHNOLOGY,Technical Support,Closure of Scheme + 3 months,Business Need,Restricted Access,Overwrite,Data Protection Act,N/A,IPC Team,01/07/2010,Digital Switchover Help Scheme,SM-ProjectMan-001,Data held on the Digital Switchover Help Schema CRM system.,
Documents,Competence Records,"Records relating to duty holders. Evidence of experience, training etc.",PERSONNEL,Health and Safety,7 years,Management of Health and Safety at Work Regulations 1999,Restricted Access,Destroy,No Further Value,N/A,Health and Safety,01/05/2011,Production Office,PE-HealthSafe-040,,
Documents,Programme Delivery Records,"includes Programme Scripts and Transcripts, Programme Reporting Forms, PasC, PasB, Sheet Music, Schedule of Residuals, Production Bible, Billing Forms, TX Forms, Music Reporting, Scripts Log",PRODUCTION,Content Creation,Permanent,Business Need,Restricted Access,Archive,Reuse,N/A,Vision,01/05/2011, N/A,PR-Content-015,,
Documents,Continuity Logs,,PRODUCTION,Content Creation,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/05/2011,Production Office,PR-Content-012,,
Documents,Public Events and Meetings,,EXTERNAL ACCOUNTABILITY,Accountability,5 years,Business Need, N/A,Review,Business Need,N/A,BBC Trust,01/06/2013,BBC Trust,EA-Accountab-015,,
Documents,Post Production Records,"Credits, DVD Requests, Ingest Forms, Programme Numbers, Spool Numbers, Astons, On Screen Portrayal Forms, Synopses, Cue Sheets, Pres Details, PP Schedules, Logs, Shotlists, PP Scripts.",PRODUCTION,Content Creation,7 years,Business Need,Restricted Access,Review,Business Need, No Appraisal Criteria at present,Vision,01/05/2011,Production Office,PR-Content-017,,
Documents,Blacklist - Talk Show Guests ,,PRODUCTION,Editorial,Until Superseded,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/05/2011,Production Office,PR-Editorial-004,,
Documents,Targets and Quotas,,EXTERNAL ACCOUNTABILITY,Accountability,5 years,Business Need, N/A,Review,Business Need,N/A,BBC Trust,01/06/2013,BBC Trust,SM-Strategy,,
Documents,Trustee Conflicts of Interest,,PERSONNEL,Employment Management,Until Superseded,Business Need, N/A,Destroy,Data Protection Act,N/A,BBC Trust,01/06/2013,BBC Trust,EA-Regulation-014,,
Documents,Statement of Deliverables,"List of deliverables required by Red Bee, Worldwide etc from the production area.",PRODUCTION,Content Creation,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/10/2011,Production Office,PR-Content,,
Documents,Director General Appointment - Successful Candidate,"This includes application forms, assessments, background checks etc – documents which are mainly about an individual",PERSONNEL,Recruitment,Permanent,Business Need,Restricted Access,Archive,Historical,N/A,BBC Trust,01/08/2012,BBC Trust,PE-Recruit-015,,
Documents,Correspondence,,COMMUNICATIONS AND MARKETING,Industry Relations,5 years,Business Need, N/A,Review,Possible Historical Interest, No Appraisal Criteria at present,_Records Management,01/06/2005, N/A,CM-Communicat-015,,
Documents,Office Equipment Records,,PROPERTY AND SERVICES,Supplies and Equipment,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/06/2005, N/A,PS-SuppEquip,,
Documents,Proposals,,ENGINEERING AND TECHNOLOGY,Technical Development,3 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Technology Direction,01/10/2005,Technology Group,ET-Technical,,
Documents,Audit Records,,STRATEGIC MANAGEMENT AND DIRECTION,Auditing,5 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/02/2007,Departments,SM-Auditing,,
Documents,Audit Records,,INFORMATION MANAGEMENT,Auditing,5 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/10/2005,Information and Archives,IM-Auditing-001,,
Documents,Systems Architecture Records,,ENGINEERING AND TECHNOLOGY,Technical Development,7 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/10/2005,Technology Group,ET-Technical-008,,
Documents,Data Protection Correspondence,,LEGAL AND CONTRACTS,Compliance,5 years,Business Need,Restricted Access,Review,NULL,N/A,_Records Management,01/05/2006, N/A,LC-Compliance-011,,
Documents,Disaster Logs,,STRATEGIC MANAGEMENT AND DIRECTION,Disaster Planning,5 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/07/2006,Departments,SM-BusCont-002,,
Documents,Disaster Plans,,STRATEGIC MANAGEMENT AND DIRECTION,Disaster Planning,Until Superseded,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/07/2006,Departments,SM-BusCont-001,,
Documents,Emergency Operations,,STRATEGIC MANAGEMENT AND DIRECTION,Disaster Planning,2 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/07/2006,Departments,SM-BusCont-003,,
Documents,Rehearsals and Tests,,STRATEGIC MANAGEMENT AND DIRECTION,Disaster Planning,6 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/07/2006,Departments,SM-BusCont-005,,
Documents,Incident Management,,STRATEGIC MANAGEMENT AND DIRECTION,Disaster Planning,7 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/07/2006,Departments,SM-BusCont-006,,
Documents,Ofcom Consultations,,EXTERNAL ACCOUNTABILITY,Complaints,2 years,BBC Best Practice,Restricted Access,Review,Business Need,N/A,_Records Management,01/07/2006, N/A,N/A,NULL,
Documents,Ofcom Code and Guidance Notes,,EXTERNAL ACCOUNTABILITY,Complaints,Until Superseded,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/07/2006, N/A,SM-Policy-004,,
Documents,Uninvestigated Complaints,,EXTERNAL ACCOUNTABILITY,Complaints,3 years,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/07/2006,Editorial Complaints Unit,EA-Complaints-00L,,
Documents,Deletion Workflow Lists,,INFORMATION MANAGEMENT,Disposition,6 months,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/12/2006,Information and Archives,IM-Dispositio-006,,
Documents,Financial Advice,,FINANCE,Advice,3 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/09/2008, N/A,FN-Advice,,
Documents,Insurance Declaration Form,"Completed Insurance Declaration Forms ensure the BBC’s insurance requirements are met. Includes cast, drivers.",FINANCE,Insurance,7 years,Limitation Act,Restricted Access,Destroy,No Further Value,N/A,Insurance Services,01/01/2011,Insurance Services,FN-Insurance-008,,
Documents,Driver Declaration Reports,Details of drivers and declarations and whether approved or not.,FINANCE,Insurance,1 year,Business Need,Restricted Access,Destroy,No Further Value,N/A,Insurance Services,01/01/2011,Insurance Services,FN-Insurance-009,,
Documents,Reporting Records,"Includes weekly, monthly and project plans",FINANCE,Contracting-Out,Current+6,Business Need,Restricted Access,Review,Business Need,N/A,Insurance Services,01/01/2011,Insurance Services,PS-SuppEquip-001,,
Documents,Contract Management,,LEGAL AND CONTRACTS,Contracts,Expiry+7,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/06/2005,Legal Department,LC-Contracts-012,,
Documents,Ionising radiation exposure,Records relating to ionising radiation exposure,PERSONNEL,Health and Safety,During employment and 50 years from last entry,Statutory - Ionising Radiation Regulation 1999,Restricted Access,Review,BBC Best Practice,N/A,Occupational Health Department,01/01/2001,BBC Safety,,Pre April 2006 retention 50 years from last entry,
Documents,External Collections,,INFORMATION MANAGEMENT,External Liaison,Until Superseded,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/02/2007, N/A,IM-ExtLiaison-004,,
Documents,Correspondence,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Restricted Access,Review,Business Need,Project Documentation,BBC PMO,01/05/2013,Departments,SM-ProjectMan-001,,
Documents,Project Brief,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Archive,Historical,N/A,_Records Management,01/05/2013,Departments,SM-ProjectMan-001,,
Documents,Project Closure Report,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Archive,Historical,N/A,_Records Management,01/05/2013,Departments,SM-ProjectMan-001,,
Documents,Communication Plans,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Review,Possible Historical Interest,Project Documentation,BBC PMO,01/05/2013,Departments,EA-Accountab-006,,
Documents,Highlight Report,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Review,Possible Historical Interest,Project Documentation,BBC PMO,01/05/2013,Departments,SM-ProjectMan-001,,
Documents,Risks and Issues Log,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Review,Possible Historical Interest,Project Documentation,BBC PMO,01/01/2006,Departments,SM-BusCont-006,,
Documents,Project Assessment,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Archive,Historical,N/A,_Records Management,01/05/2013,Departments,SM-ProjectMan-001,,
Documents,Project Charter,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Archive,Historical,N/A,_Records Management,01/05/2013,Departments,SM-ProjectMan-001,,
Documents,Roles and Responsibilities,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Review,Possible Historical Interest,Project Documentation,BBC PMO,01/05/2013,Departments,SM-ProjectMan-001,,
Documents,Quality Management,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Archive,Historical,N/A,_Records Management,01/05/2013,Departments,SM-ProjectMan-001,,
Documents,Merchandising Cases,,PRODUCTION,Content Creation,Expiry+7,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/06/2007, N/A,N/A,NULL,
Documents,Pensions Management,,PERSONNEL,Pensions,Life of Scheme+5 Years,Business Need,Restricted Access,Review,Legal,N/A,Pensions,01/09/2008,BBC People,PE-Pensions-008,,
Documents,Audition Records,"includes notes, successful, unsuccessful, forms, lists, admin arrangements and log. NOT signed CHILDREN'S PERMISSION F0RMS.",PRODUCTION,Casting,2 years,Business Need,Editorially Sensitve,Review,Possible Historical Interest,N/A,Vision,01/05/2011,Production Office,PR-Casting-001,,
Documents,Digital Switchover Help Scheme - Non-Responders,"People who have not responded to the Digital Switchover Help Scheme - either to opt in, opt out or with a general enquiry.",ENGINEERING AND TECHNOLOGY,Technical Support,Closure of Region + 3 months,Business Need,Restricted Access,Overwrite,Data Protection Act,N/A,IPC Team,01/07/2010,Digital Switchover Help Scheme,SM-ProjectMan-001,Data held on the Digital Switchover Help Schema CRM system.,
Documents,Insurance Cover Schedule,Insurance Cover Schedule,FINANCE,Insurance,7 years,Business Need,Restricted Access,Destroy,Local Copies,N/A,_Records Management,01/05/2011,AON,FN-Insurance-008,,
Documents,Public Purpose Remits,,EXTERNAL ACCOUNTABILITY,Accountability,10 years,Business Need, N/A,Archive,Business Need,N/A,BBC Trust,01/06/2013,BBC Trust,EA-Accountab,,
Documents,Exposure Incidents,,PERSONNEL,Health and Safety,Cessation+40,Occupational Health Protocol,Restricted Access,Review,Legal,Incidents - Hazardous Substances,Head of Safety Policy and Compliance,01/09/2011,BBC Safety,PE-HealthSafe-015,"eg asbestos, lead, radiation, chemical",
Documents,Public Value Tests,,EXTERNAL ACCOUNTABILITY,Accountability,10 years,Business Need, N/A,Archive,Possible Historical Interest,N/A,BBC Trust,01/06/2013,BBC Trust,EA-Accountab,,
Documents,CDM Building Safety Plan,,PROPERTY AND SERVICES,Development,Completion of project+1,Construction (Design and Management) Regulations 1994,Restricted Access,Destroy,No Further Value,N/A,Head of Safety Policy and Compliance,01/09/2011,BBC Workplace,PS-Developmen-008,,
Documents,CDM Health and Safety File,Produced at the end of construction. Outlines how to use the building and how to demolish all or parts of.,PROPERTY AND SERVICES,Development,Lifetime of building/structure,Construction (Design and Management) Regulations 1994,Restricted Access,Destroy,No Further Value,N/A,Head of Safety Policy and Compliance,01/09/2011,BBC Workplace,PS-Developmen-009,,
Documents,Newsletters,NULL,EXTERNAL ACCOUNTABILITY,Fair Trading,3 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,Policy,01/12/2004,Fair Trading,CM-Communicat,Can be assessed case by case. May contain copyright issues,
Documents,Newsletters,NULL,PERSONNEL,Internal Communication,3 years,Business Need, N/A,Review,No Further Value,N/A,_Records Management,01/10/2004, N/A,CM-Communicat, ,
Documents,Presentations,NULL,PERSONNEL,Internal Communication,3 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/06/2005, N/A,CM-Communicat-005,,
Documents,Presentations,NULL,COMMUNICATIONS AND MARKETING,Public Relations,3 years,Business Need,Non-Restricted,Review,Possible Historical Interest,N/A,Marketing Communications and Audiences,01/11/2004, N/A,CM-Communicat-005,,
Documents,Tender Successful Documentation,NULL,FINANCE,Tendering,Expiry+2,Limitation Act,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/09/2006,Procurement,FN-Tendering-001,,
Documents,Fair Trading Reports,NULL,EXTERNAL ACCOUNTABILITY,Fair Trading,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,_Records Management,01/06/2005,Fair Trading,EA-FairTradin,"Advice, Audits, Commitment, Competition Commission, Office of Fair Trading, Reviews, Fair Trading Reports, Benchmarking Reports.",
Documents,Contracts Executed by Deed,NULL,LEGAL AND CONTRACTS,Contracts,Expiry+12,Legal,Restricted Access,Destroy,BBC Best Practice,N/A,Litigation and Intellectual Property,01/11/2004,Client Department,LC-Contracts-001,,
Documents,Joint Venture Agreements,NULL,PROPERTY AND SERVICES,Joint Ventures,Expiry+7,Limitation Act,Restricted Access,Review,BBC Best Practice,N/A,BBC Workplace,01/10/2004, N/A,PS-JointVent, ,
Documents,Contract Variations,NULL,PROPERTY AND SERVICES,Joint Ventures,Expiry+7,Limitation Act,Restricted Access,Destroy,No Further Value,N/A,BBC Workplace,01/10/2004, N/A,PS-JointVent, ,
Documents,Service Definition,NULL,PROPERTY AND SERVICES,Joint Ventures,Until Superseded,BBC Best Practice,Restricted Access,Review,BBC Best Practice,N/A,BBC Workplace,01/10/2004, N/A,PS-JointVent-005, ,
Documents,Declaration of Personal Interests,Forms completed by employees declaring any personal interests which are likely to conflict with their duties or impair their ability to carry out those duties.,PERSONNEL,Employment Management,Until Superseded,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,_Records Management,01/07/2006, N/A,PE-EmployMan-015,,
Documents,Organisation Charts,NULL,PERSONNEL,Internal Communication,Until Superseded,Business Need,Non-Restricted,Review,Business Need,N/A,_Records Management,01/12/2004,Departments,CM-Communicat-007,,
Documents,Relocation Records,"Records of the processes involved in assisting in the permanent relocation of individual members of staff, including management of the payment of agreed expenses",PERSONNEL,Deployment,Completion of project+7,Inland Revenue,Restricted Access,Review,Possible Historical Interest,N/A,Relocations Unit,01/12/2004,BBC People,PE-Deployment-005, ,
Documents,Rotas and Workplans,"Includes rota patterns, work arrangements and work plans",PERSONNEL,Employment Management,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,BBC People,01/12/2004, N/A,PE-EmployMan, ,
Documents,Senior Staff Files,NULL,PERSONNEL,Employment Management,Permanent,Business Need,Restricted Access,Archive,Historical,N/A,BBC People,01/12/2004,BBC People,PE-EmployMan-005,See Appraisal Criteria for details of retention decisions,
Documents,Special Leave,"Records concerning the granting and managing of leave to an individual under special circumstances. Includes maternity leave, parental leave.",PERSONNEL,Absence and Leave,3 years,Business Need,Restricted Access,Destroy,Local Copies,N/A,BBC People,01/12/2004,Departments,PE-Absence-002,Retained for Cessation+3 if on staff file,
Documents,Sealed Charter,NULL,EXTERNAL ACCOUNTABILITY,Charter,Permanent,Charter and Agreement,Restricted Access,Archive,Historical,N/A,BBC Trust,01/06/2003,Heritage,EA-Charter-004,,
Documents,Statements of Programme Policy,BBC promises to viewers and listeners,EXTERNAL ACCOUNTABILITY,Accountability,Permanent,Charter and Agreement,Public Access,Archive,Historical,N/A,BBC Trust,01/06/2003,BBC Trust,EA-Accountab,,
Documents,Accident Records,Records relating to an accident/incident including correspondence,PERSONNEL,Health and Safety,6 years,Reporting of Injuries Diseases and Dangerous Occurrences,Restricted Access,Review,BBC Best Practice,Accident Records,Head of Safety Policy and Compliance,01/09/2011,BBC Safety,PE-HealthSafe-001,Retain any records not with BBC Safety IF subject to legal case or of archival interest,
Documents,Finance Cases,NULL,FINANCE,Investments,Completion of project+7,BBC Best Practice,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/01/2007, N/A,FN-Investment-001,,
Documents,Investment Proposals,NULL,PROPERTY AND SERVICES,Estate Management,Completion of project+7,Limitation Act,Restricted Access,Review,BBC Best Practice,N/A,BBC Workplace,01/10/2004, N/A,FN-Investment-001, ,
Documents,Competitor Profiles,NULL,COMMUNICATIONS AND MARKETING,Competition,3 years,Business Need, N/A,Review,NULL, No Appraisal Criteria at present,Marketing Communications and Audiences,01/11/2004,Marketing Communications and Audiences,CM-Competition,,
Documents,Logos,NULL,COMMUNICATIONS AND MARKETING,Branding,Until Superseded,Business Need,Restricted Access,Review,Possible Historical Interest, No Appraisal Criteria at present,Marketing Communications and Audiences,01/09/2004, N/A,CM-Branding,,
Documents,Market Charts,NULL,COMMUNICATIONS AND MARKETING,Competition,3 years,Business Need, N/A,Review,NULL, No Appraisal Criteria at present,Marketing Communications and Audiences,01/11/2004,Marketing Communications and Audiences,CM-Competition,,
Documents,Government Papers,NULL,EXTERNAL ACCOUNTABILITY,Regulation,5 years,Business Need, N/A,Review,BBC Best Practice,N/A,Policy,01/12/2004,Parliamentary Affairs,EA-Regulation,,
Documents,Political Party Conferences,NULL,EXTERNAL ACCOUNTABILITY,Parliamentary and Political Relations,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Public Affairs,EA-ParlRels,May prejudice effective conduct of Public Affairs,
Documents,Pension Applications,NULL,PERSONNEL,Pensions,Benefit end+12,Pensions Act 1995,Restricted Access,Destroy,No Further Value,N/A,Pensions,01/12/2004,Pensions,PE-Pensions, ,
Documents,Pension Declaration on Leaving,NULL,PERSONNEL,Pensions,Benefit end+12,Pensions Act 1995,Restricted Access,Destroy,No Further Value,N/A,Pensions,01/12/2004,Pensions,PE-Pensions-004, ,
Documents,Pension Trust Deed,NULL,PERSONNEL,Pensions,Permanent,Pensions Act 1995,Restricted Access,Archive,Business Need,N/A,Pensions,01/12/2004,Pension scheme solicitors,PE-Pensions-006, ,
Documents,Performance Reports,NULL,COMMUNICATIONS AND MARKETING,Audience and Consumer Research,5 years,Business Need,Restricted Access,Review,Business Need,N/A,BBC Films,01/01/2005, N/A,CM-AudResearc-005,,
Documents,Press Cuttings,NULL,COMMUNICATIONS AND MARKETING,Media Relations,3 years,Business Need,Non-Restricted,Destroy,No Further Value,N/A,Press Office,01/11/2004,Press Office,CM-MediaRel-004,,
Documents,Programme as Broadcast,PasB,PRODUCTION,Content Creation,Permanent,Business Need, N/A,Archive,Reuse,N/A,_Records Management,01/06/2003,P4A,PR-Content-015,,
Documents,Programme as Completed,PasC,PRODUCTION,Content Creation,Permanent,Business Need, N/A,Archive,Reuse,N/A,_Records Management,01/06/2003,P4A,PR-Content-015,,
Documents,Scripts,"Final Transmission Script, Final Post Production Script",PRODUCTION,Content Creation,Permanent,Business Need,Restricted Access,Archive,Reuse,N/A,_Records Management,01/06/2003,Production Office,PR-Content-015,Final scripts held by I&A,
Documents,Secondary Research,NULL,PRODUCTION,Content Creation,3 years,Business Need,Non-Restricted,Destroy,No Further Value,N/A,_Records Management,01/06/2003,Production Office,PR-Content-00L,,
Documents,Agreed Specification,NULL,PROPERTY AND SERVICES,Development,Completion of project,BBC Best Practice,Restricted Access,Review,Possible Historical Interest,N/A,BBC Workplace,01/10/2004,Property Operations Manager,PS-Developman-004,Duplicates destroyed after project is complete,
Documents,Post Implementation Reviews,"Report containing introduction/background, achievements, issues, conclusions, actions, lessons learned",INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Archive,Historical,N/A,_Records Management,01/01/2006,Departments,SM-ProjectMan-001,,
Documents,Project Definition Documentation,Contains more detailed information following approval of the project brief,STRATEGIC MANAGEMENT AND DIRECTION,Project Management,Completion of project+7,Business Need,Non-Restricted,Archive,Historical,N/A,_Records Management,01/05/2013,Departments,SM-ProjectMan-001,,
Documents,Accommodation Requests,NULL,PROPERTY AND SERVICES,Estate Management,Period of business/administrative need,BBC Best Practice,Restricted Access,Destroy,No Further Value,N/A,BBC Workplace,01/10/2004, N/A,PS-EstateMan-001,Absolute Exemption,
Documents,Asset Lists,NULL,PROPERTY AND SERVICES,Supplies and Equipment,Until Superseded,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/01/2001, N/A,PS-SuppEquip, ,
Documents,Structural Plans,NULL,PROPERTY AND SERVICES,Estate Management,Until Superseded,Limitation Act,Restricted Access,Transfer to Purchaser,BBC Best Practice,N/A,BBC Workplace,01/10/2004,Land Securities Trillium,PS-EstateMan-007, ,
Documents,Mechanical Plans,NULL,PROPERTY AND SERVICES,Estate Management,Until Superseded,Limitation Act,Restricted Access,Transfer to Purchaser,BBC Best Practice,N/A,BBC Workplace,01/10/2004,Land Securities Trillium,PS-EstateMan-007, ,
Documents,Expenses,Records documenting the payment of  expenses incurred in the course of employment.,PERSONNEL,Remuneration,7 years,Taxes Management Act,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/01/2007,SAP,PE-Remunerat-001,,
Documents,Test Scripts,NULL,ENGINEERING AND TECHNOLOGY,Technical Development,Completion of project+7,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/06/2003, N/A,ET-Technical-005,,
Documents,Clearances,"including music, film and stills copyright",LEGAL AND CONTRACTS,Rights,Permanent,Legal,Restricted Access,Archive,Reuse,N/A,_Records Management,01/05/2006,Talent & Rights Negotiation Group,LC-Rights-001,,
Documents,Sales Invoices,NULL,FINANCE,Accounting,7 years,Statutory,Restricted Access,Destroy,BBC Best Practice,N/A,Finance,01/11/2004,SAP,FN-Accounting, ,
Documents,Sales Orders,NULL,FINANCE,Accounting,2 years,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,Finance,01/10/2009,Finance,FN-Accounting-029, ,
Documents,Business Plans,NULL,STRATEGIC MANAGEMENT AND DIRECTION,Strategy,5 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,Strategy and Distribution,01/10/2004, N/A,SM-Strategy, ,
Documents,Appraisals,NULL,PERSONNEL,Training and Development,Cessation+6,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,BBC People,01/01/2013,BBC People,PE-TrainDev-005, ,
Documents,Daily Cash Book,NULL,FINANCE,Accounting,7 years,Statutory,Restricted Access,Destroy,BBC Best Practice,N/A,Finance,01/11/2004,SAP,FN-Accounting, ,
Documents,Schedules,NULL,INFORMATION MANAGEMENT,Intake,Until Superseded,Business Need, N/A,Destroy,No Further Value,N/A,_Records Management,01/06/2005, N/A,IM-Intake-001,,
Documents,Strategy Records,includes Roadmaps,INFORMATION MANAGEMENT,Information Security,5 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/06/2005, N/A,SM-Strategy,,
Documents,Strategy Records,includes Roadmaps,STRATEGIC MANAGEMENT AND DIRECTION,Strategy,5 years,Business Need, N/A,Review,BBC Best Practice,N/A,_Records Management,01/06/2005, N/A,SM-Strategy,,
Documents,Speeches,NULL,COMMUNICATIONS AND MARKETING,Public Relations,5 years,Business Need,Public Access,Review,Possible Historical Interest,N/A,Marketing Communications and Audiences,01/11/2004, N/A,CM-Communicat-006,,
Documents,Employment Management Records,"includes; Leaver Exit Records, Flexible Working Records, Staff Lists, Rotas and Work Plans, Visa Applications",PERSONNEL,Employment Management,Period of business/administrative need,Business Need,Restricted Access,Destroy,Local Copies,N/A,NULL,01/11/2004,BBC People,PE-EmployMan, ,
Documents,Budget Records,NULL,FINANCE,Budgeting,7 years,BBC Best Practice,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/01/2007, N/A,FN-Budget,,
Documents,Business Calendar,NULL,STRATEGIC MANAGEMENT AND DIRECTION,Executive Business,Until Superseded,Business Need,Non-Restricted,Review,No Further Value,N/A,Executive Business Unit,01/06/2003,Executive Business Unit,SM-ExecBus-001,,
Documents,Investment Proposals,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Archive,Historical,N/A,_Records Management,01/05/2013,Departments,FN-Investment-001,includes Finance Cases,
Documents,Project Records,"Records associated with all stages of managing projects. Includes proposals, specifications and project evaluation documents",STRATEGIC MANAGEMENT AND DIRECTION,Project Management,Completion of project+7,BBC Best Practice, N/A,Review,BBC Best Practice,N/A,_Records Management,01/10/2005,Departments,SM-ProjectMan-001,,
