type,type_value,Description
Business_Activity,Meetings,"Activities associated with ad hoc gatherings held to formulate, discuss, update, or resolve issues and matters pertaining to the management of the team, department or organisation"
Business_Activity,Resourcing,"Activities associated with allocating and providing resources for production purposes. Includes cameras, locations etc."
Business_Activity,Rights,"Process of clearing, acquiring and disposal of contributor rights (e.g literary, musical and artistic) to enable the BBC to produce, broadcast and commerically exploit programmes.  For contributor contracts see TALENT MANAGEMENT. See also MERCHANDISING."
Business_Activity,Acquisition,"Process of gaining ownership or use of property and other items, or the provision of services required in the conduct of business through procurement process, purchase, requisitions or donations.  Includes the acquisition of deeds"
Business_Activity,Advice,"Process of providing advice, guidance, expertise and knowledge to other areas of the organisation. Includes external projects."
Business_Activity,Conservation,"The preservation, protection, maintenance, restoration, and upkeep of property, documents, programme output and collections of information in order to prevent deterioration."
Business_Activity,Design,Processes involved in developing the plan or form of a product or building.  Includes merchandise and system design.
Business_Activity,Installation,Activities involved in placing equipment in position and connecting and adjusting it for use.
Business_Activity,Insurance,"Process of taking out premiums to cover loss or damage to property or premises, and to cover customers and staff against injury or death resulting from incidents on the BBC's premises or during employment for the BBC."
Business_Activity,Maintenance,"Activities associated with the upkeep, repair, servicing and modification of internal and external conditions of property, equipment, vehicles etc."
Business_Activity,Meetings,"Activities associated with ad hoc gatherings held to formulate, discuss, update, or resolve issues and matters pertaining to the management of the team, department or organisation"
Business_Activity,Advice,"Process of providing advice, guidance, expertise and knowledge to other areas of the organisation. Includes external projects."
Business_Activity,Meetings,"Activities associated with ad hoc gatherings held to formulate, discuss, update, or resolve issues and matters pertaining to the management of the team, department or organisation"
Business_Activity,Research,"Activities involved in investigating or enquiring into a subject or area of interest in order to discover facts, principles etc. to be used to support the development of projects, programmes, standards and general business activities."
Business_Activity,Seminars,Activities associated with holding any group or meeting for holding discussions or exchanging information. Includes governors seminars. Includes speeches and lectures.
Business_Activity,Channel Management,The strategic planning and management of output on existing and new BBC Radio and Television services and the development of all new digital channels.
Business_Activity,Content Creation,Activities involved in producing material for output in any media.
Business_Activity,Competition,Activity of researching and analysing the global economic market and competitors of the BBC and its subsidiary companies.  Includes Market and competitor profiling.
Business_Activity,Leasing,"Activities involved in leasing items, equipment, accommodation, premises, or real estate from another organisation.  Includes the acquiring of deeds"
Business_Activity,Acquisition,"Process of gaining ownership or use of property and other items, or the provision of services required in the conduct of business through procurement process, purchase, requisitions or donations.  Includes the acquisition of deeds"
Business_Activity,Joint Ventures,"Activities involved in managing the joint operations and relationship between the BBC and external partners for the purpose of commercial gain, and sharing expertise and risks."
Business_Activity,Presentation,Preparing output for transmission.
Business_Activity,Regulation,"Process of protecting and advancing the BBC's legal interests by complying with accountability, fiscal, legal, regulatory or quality standards or requirements.  Includes compliance with legislation and standards and liaison with regulatory bodies"
Business_Activity,Exhibitions,"Activities involved in using organisational material for public and private display for the purpose of informing or educating, or promoting the activities, services, projects or programmes of the BBC."
Business_Activity,Licence Fee,"Activities associated with the setting, collection and administration of the licence fee."
Business_Activity,Markets,Activities involved with researching the global economic market.  Includes market profiling.
Business_Activity,Seminars,Activities associated with holding any group or meeting for holding discussions or exchanging information. Includes governors seminars. Includes speeches and lectures.
Business_Activity,Design,Processes involved in developing the plan or form of a product or building.  Includes merchandise and system design.
Business_Activity,Maintenance,"Activities associated with the upkeep, repair, servicing and modification of internal and external conditions of property, equipment, vehicles etc."
Business_Activity,Charter,Activities associated with managing and reviewing the BBC Charter.
Business_Activity,Risk Management,"Process involving identification of risks, the likelihood and consequences of those risks, and the implementation of appropriate practice and procedures to treat the risks."
Business_Activity,Forecasting,"Process of predicting and preparing for future trends, requirements and actions."
Business_Activity,Advice,"Process of providing advice, guidance, expertise and knowledge to other areas of the organisation. Includes external projects."
Business_Activity,Insurance,"Process of taking out premiums to cover loss or damage to property or premises, and to cover customers and staff against injury or death resulting from incidents on the BBC's premises or during employment for the BBC."
Business_Activity,Acquisition,"Process of gaining ownership or use of property and other items, or the provision of services required in the conduct of business through procurement process, purchase, requisitions or donations.  Includes the acquisition of deeds"
Business_Activity,Intellectual Property,"Protecting and promoting the BBC’s intellectual property interests and assets. Includes the registering, renewing and disposition of trademarks and copyright. Also trademark infringements. For Programme clearance and acquition use RIGHTS."
Business_Activity,Meetings,"Activities associated with ad hoc gatherings held to formulate, discuss, update, or resolve issues and matters pertaining to the management of the team, department or organisation"
Business_Activity,Regulation,"Process of protecting and advancing the BBC's legal interests by complying with accountability, fiscal, legal, regulatory or quality standards or requirements.  Includes compliance with legislation and standards and liaison with regulatory bodies"
Business_Activity,Contracts,"Activity of setting the standard terms and conditions of the BBC's contracts and agreements. Does not include the actual drawing up of individual contracts, this should come under the relevant activity, e.g. for artists contracts see TALENT MANAGEMENT"
Business_Activity,Construction,"Activity of building or making something such as structures, buildings, models etc."
Business_Activity,Accountability,Processes involved with ensuring the BBC remains accountable to the general public.  Includes ensuring the needs and interests of the public are understood and liaising with BBC's national and regional broadcasting councils and other advisory bodies.
Business_Activity,Policy,"Activities associated with developing and establishing decisions, directions and precedents which act as a reference for future decision making, as the basis from which the organisation's operating procedures are determined."
Business_Activity,Audience and Consumer Research,"Activity of commissioning, carrying out and collating research on audience and consumer trends and attitudes.  Includes BARB and RAJAR."
Business_Activity,Intellectual Property,"Protecting and promoting the BBC’s intellectual property interests and assets. Includes the registering, renewing and disposition of trademarks and copyright. Also trademark infringements. For Programme clearance and acquition use RIGHTS."
Business_Activity,Transmission,Activity of distributing programme output around the globe for transmission.  Includes interactive material.
Business_Activity,Tendering,"Activities involved in calling for expressions of interest, receiving and assessing tenders, making offers, and finalising by contract arrangements for the supply, sale or purchase of goods and services."
Business_Activity,Transport Management,"Activity of acquiring, managing, maintaining, repairing and disposing of vehicles owned or used by the BBC. Includes arrangements for travel."
Business_Activity,European Relations,"Activities involved in liaison between BBC and European Union, European Parliament. Includes EBU relations.  See also Industry Relations."
Business_Activity,Employment Law,Activities involved in the application of and complying with laws on employment at work.
Business_Activity,Environmental Management,"Activity of ensuring good practice relating to BBC buildings and services.  Includes; town planning, enviromental strategic advice to BBC, compliance to enviromental building regulations and recycling."
Business_Activity,Training and Development,"Includes all aspects of external and internal training and development, including Staff Appraisals. Also includes training offered to external organisations and individuals (e.g.work experience)."
Business_Activity,Media Relations,Activities involved with liaising and maintaining a relationship with the press and other media organisations.
Business_Activity,Public Relations,"Activity of creating, promoting and maintaining the reputation of the BBC and its relationship with the public. Includes public consultation, and audience relations, i.e., audience shows and viewer and listeners letters. See also COMPLAINTS."
Business_Activity,Public Relations,"Activity of creating, promoting and maintaining the reputation of the BBC and its relationship with the public. Includes public consultation, and audience relations, i.e., audience shows and viewer and listeners letters. See also C0MPLAINTS."
Business_Activity,Public Relations,"Activity of creating, promoting and maintaining the reputation of the BBC and its relationship with the public. Includes public consultation, and audience relations, i.e., audience shows and viewer and listeners letters. See also COMPLAINTS."
Business_Activity,Taxation,Activities involved in dealing with matters of a tax nature. Includes adhering to statutory requirements and providing tax advice.
Business_Activity,Tendering,"Activities involved in calling for expressions of interest, receiving and assessing tenders, making offers, and finalising by contract arrangements for the supply, sale or purchase of goods and services."
Business_Activity,Health and Safety,"Activity of implementing and co-ordinating Health and Safety and associated legislation throughout the organisation.  Includes accidents, occupational health together with policy, procedural and monitoring matters."
Business_Activity,Public Forums,Activities associated with gathering public opinions. Includes BBC Listens and BBC Promises.
Business_Activity,Contracts,"Activity of setting the standard terms and conditions of the BBC's contracts and agreements. Does not include the actual drawing up of individual contracts, this should come under the relevant activity, e.g. for artists contracts see TALENT MANAGEMENT"
Business_Activity,Corporate Social Responsibility,"Activity of developing, co-ordinating and promoting the BBC's ethical, community environmental and social activities."
Business_Activity,Compliance,"Activities associated with protecting the BBC's legal interests by complying with accountability, fiscal, legal, regulatory or quality standards and requirements."
Business_Activity,Compliance,"Activities associated with protecting the BBC's legal interests by complying with accountability, fiscal, legal, regulatory or quality standards and requirements."
Business_Activity,Compliance,"Activities associated with protecting the BBC's legal interests by complying with accountability, fiscal, legal, regulatory or quality standards and requirements."
Business_Activity,Disaster Planning,Activity of devising contingency plans to be used in the event of an unforseen event or disaster.  Includes evacuation and relocation procedures and emergency broadcasting procedures.
Business_Activity,Recruitment,"Activity of managing the recruitment process and selecting staff.  Includes the selection process, and devising and adhering to recruitment policy. For recruitment of programme contributors SEE CASTING."
Business_Activity,Casting,Activity of selecting contributors to programmes.
Business_Activity,Supplies and Equipment,"Activity of managing and disposing of supplies, equipment and services stocked and used by the BBC.Includes tools machines, vehicles, furniture and furnishings.Supplies includes stationery."
Business_Activity,Employment Management,Activity of managing the general activities involved in the day to day management of staff. Includes conditions of service.
Business_Activity,Technical Support,"Activity of supporting all users of technical equipment.  Includes upkeep, repair, servicing and modification of systems and equipment."
Business_Activity,Performance Management,"Activities associated with determining, recording and analysing the performance of a set of activities or an area of business. For staff performance see PERSONNEL."
Business_Activity,Technical Development,"Activity of devising, implementing, improving and reviewing technical solutions and applications."
Business_Activity,Advice,"Process of providing advice, guidance, expertise and knowledge to other areas of the organisation. Includes external projects."
Business_Activity,Auditing,"Activities associated with officially checking financial, quality assurance and operational records to ensure they have been kept and maintained in accordance with agreed or legislated standards."
Business_Activity,Policy,"Activities associated with developing and establishing decisions, directions and precedents which act as a reference for future decision making, as the basis from which the organisation's operating procedures are determined."
Business_Activity,Meetings,"Activities associated with ad hoc gatherings held to formulate, discuss, update, or resolve issues and matters pertaining to the management of the team, department or organisation"
Business_Activity,Development,Process of developing BBC sites and properties. Includes construction of new buildings and extensions to existing sites and properties.
Business_Activity,Joint Ventures,"Activities involved in managing the joint operations and relationship between the BBC and external partners for the purpose of commercial gain, and sharing expertise and risks."
Business_Activity,Policy,"Activities associated with developing and establishing decisions, directions and precedents which act as a reference for future decision making, as the basis from which the organisation's operating procedures are determined."
Business_Activity,Commemoration,"Activities involved in arranging and managing special events to commemorate and honour a particular event, person etc. Includes anniversaries, memorial services and obituaries."
Business_Activity,Tendering,"Activities involved in calling for expressions of interest, receiving and assessing tenders, making offers, and finalising by contract arrangements for the supply, sale or purchase of goods and services."
Business_Activity,Risk Management,"Process involving identification of risks, the likelihood and consequences of those risks, and the implementation of appropriate practice and procedures to treat the risks."
Business_Activity,External Liaison,"Activity of liaising with external organisations and people on general matters. Use specific activities for liaison where possible such as parliamentary relations, public relations, media relations etc."
Business_Activity,Strategy,"Activity of designing new structures, defining divisional objectives, and looking at ways to make savings whilst delivering better programmes and services."
Business_Activity,Disposition,"Activities involved in the transfer of property and resources by sale, destruction, termination of lease, or donation etc. Includes the disposition of information and business records."
Business_Activity,Archiving,"The activities involved in the selection and management of material destined for long term or permanent retention.  See also Conservation, Disposition."
Business_Activity,Distribution,Activity of distributing programme output around the globe for transmission. Includes interactive material.
Business_Activity,Frequencies,Activities involved in allocating frequencies for transmission of output.
Business_Activity,Corporate Social Responsibility,"Activity of developing, co-ordinating and promoting the BBC's ethical, community environmental and social activities."
Business_Activity,Joint Ventures,"Activities involved in managing the joint operations and relationship between the BBC and external partners for the purpose of commercial gain, and sharing expertise and risks."
Business_Activity,External Liaison,"Activity of liaising with external organisations and people on general matters. Use specific activities for liaison where possible such as parliamentary relations, public relations, media relations etc."
Business_Activity,Research,"Activities involved in investigating or enquiring into a subject or area of interest in order to discover facts, principles etc. to be used to support the development of projects, programmes, standards and general business activities."
Business_Activity,Auditing,"Activities associated with officially checking financial, quality assurance and operational records to ensure they have been kept and maintained in accordance with agreed or legislated standards."
Business_Activity,External Liaison,"Activity of liaising with external organisations and people on general matters. Use specific activities for liaison where possible such as parliamentary relations, public relations, media relations etc."
Business_Activity,Programme Development,"Activities relating to the development of programme ideas prior to production including research, ideas and script development."
Business_Activity,Estate Management,Activity of managing premises and accommodation owned and leased by the BBC.
Business_Activity,Accommodation Services,"Activities relating to the provision of services such as air conditioning, catering, cleaning, fixtures, furniture, fittings, heating, lighting, office moves, porters and car parking."
Business_Activity,Broadcast Appeals,Activity of selecting applications for broadcast appeals.
Business_Activity,Corporate/Commercial Law,Activities relating to the legal aspects of corporate or commercial business.
Business_Activity,Charities/Trusts,Acivities associated with the legal aspects of setting up charities and trusts.
Business_Activity,Talent Management,"Activity of contracting and managing the BBCs talent. Includes amateur performers, liaising with talent unions and agents."
Business_Activity,Royal Liaison,Activities associated with maintaining relations with the royal family.
Business_Activity,Security,Activities associated with protecting BBC property and staff from threats. Also includes information security and data protection.
Business_Activity,Security,Activities associated with protecting BBC property and staff from threats. Also includes information security and data protection.
Business_Activity,External Liaison,"Activity of liaising with external organisations and people on general matters. Use specific activities for liaison where possible such as parliamentary relations, public relations, media relations etc."
Business_Activity,Online,Activities involved with the research and use of web based material. Includes compliance with online editorial policy.
Business_Activity,Online,Activities involved with the research and use of web based material. Includes compliance with online editorial policy.
Business_Activity,Online,Activities involved with the research and use of web based material. Includes compliance with online editorial policy.
Business_Activity,Contracts,"Activity of setting the standard terms and conditions of the BBC's contracts and agreements. Does not include the actual drawing up of individual contracts, this should come under the relevant activity, e.g. for artists contracts see TALENT MANAGEMENT"
Business_Activity,Contracts,"Activity of setting the standard terms and conditions of the BBC's contracts and agreements. Does not include the actual drawing up of individual contracts, this should come under the relevant activity, e.g. for artists contracts see TALENT MANAGEMENT"
Business_Activity,Contracts,"Activity of setting the standard terms and conditions of the BBC's contracts and agreements. Does not include the actual drawing up of individual contracts, this should come under the relevant activity, e.g. for artists contracts see TALENT MANAGEMENT"
Business_Activity,Contracts,"Activity of setting the standard terms and conditions of the BBC's contracts and agreements. Does not include the actual drawing up of individual contracts, this should come under the relevant activity, e.g. for artists contracts see TALENT MANAGEMENT"
Business_Activity,External Liaison,"Activity of liaising with external organisations and people on general matters. Use specific activities for liaison where possible such as parliamentary relations, public relations, media relations etc."
Business_Activity,Internal Communication,"Activities involved in informing employees of the organisations business, proposals, actions etc. Includes methods of communication such as publications and intranets."
Business_Activity,Internal Communication,"Activities involved in informing employees of the organisations business, proposals, actions etc. Includes methods of communication such as publications and intranets."
Business_Activity,Internal Communication,"Activities involved in informing employees of the organisations business, proposals, actions etc. Includes methods of communication such as publications and intranets."
Business_Activity,Regulation,"Process of protecting and advancing the BBC's legal interests by complying with accountability, fiscal, legal, regulatory or quality standards or requirements.  Includes compliance with legislation and standards and liaison with regulatory bodies"
Business_Activity,Regulation,"Process of protecting and advancing the BBC's legal interests by complying with accountability, fiscal, legal, regulatory or quality standards or requirements.  Includes compliance with legislation and standards and liaison with regulatory bodies"
Business_Activity,Regulation,"Process of protecting and advancing the BBC's legal interests by complying with accountability, fiscal, legal, regulatory or quality standards or requirements.  Includes compliance with legislation and standards and liaison with regulatory bodies"
Business_Activity,Reviewing,"Activities involved in re-evaluating or re-examining products, processes, procedures, standards and systems. Includes recommendations and advice resulting from these activities."
Business_Activity,Reviewing,"Activities involved in re-evaluating or re-examining products, processes, procedures, standards and systems. Includes recommendations and advice resulting from these activities."
Business_Activity,Strategy,"Activity of designing new structures, defining divisional objectives, and looking at ways to make savings whilst delivering better programmes and services."
Business_Activity,Litigation,"Activities involved in managing, undertaking or defending lawsuits or legal proceedings between the BBC and other parties in a court or other tribunal."
Business_Activity,Accounting,"Activity of collecting, recording, and analysing information on the financial transactions of the organisation. Includes financial statements and the implementation, maintenance, and monitoring of the organisation's accounting systems."
Business_Activity,Promotions,"Process of attracting public attention to BBC products, services and events by the use of mass media. Includes publicity, trails, promotional notes and promotional stills."
Business_Activity,Delivery,Activities involved in the delivery or distribution of a completed product or service.  See also SALES AND DISTRIBUTION.
Business_Activity,Access Services,"Process of providing a subtitling, signing and audio description service."
Business_Activity,Syndication,Activity of using previously created online content.
Business_Activity,Events,Arranging and managing the activities associated with public and staff events and festivals. Does NOT include exhibitions.
Business_Activity,External Liaison,"Activity of liaising with external organisations and people on general matters. Use specific activities for liaison where possible such as parliamentary relations, public relations, media relations etc."
Business_Activity,Government Relations,Activities involved with establishing and maintaining formal relations between the BBC and the Government.
Business_Activity,Advice,"Process of providing advice, guidance, expertise and knowledge to other areas of the organisation. Includes external projects."
Business_Activity,Strategy,"Activity of designing new structures, defining divisional objectives, and looking at ways to make savings whilst delivering better programmes and services."
Business_Activity,Tendering,"Activities involved in calling for expressions of interest, receiving and assessing tenders, making offers, and finalising by contract arrangements for the supply, sale or purchase of goods and services."
Business_Activity,Pensions,The management and admininistration of the BBC Pension Schemes.
Business_Activity,Risk Management,"Process involving identification of risks, the likelihood and consequences of those risks, and the implementation of appropriate practice and procedures to treat the risks."
Business_Activity,Installation,Activities involved in placing equipment in position and connecting and adjusting it for use.
Business_Activity,Commissioning,Process of authorising internal and external resources to carry out specific duties. Includes Programme commissioning.
Retention_Reason,Record of BBC output,Asset retained as a record of BBC output even where the BBC is unable to reuse asset in new broadcasts or publications
Retention_Reason,Child Protection Act,
Retention_Reason,Maintain Online Presence,Decomissioned websites are tomb stoned or mothballed so that links to those sites will continue to work but it will be clear that the content is no longer maintained or has been taken down.
Retention_Reason,Inland Revenue,
Retention_Reason,Production Need,"Potential reuse value for reversioning or research, or ongoing need to retain by originating production department"
Retention_Reason,Reuse,
Retention_Reason,The Regulatory Reform (Fire Safety) Order 2005,"The Fire Safety Order, made under the Regulatory Reform Act 2001 has replaced over 70 separate pieces of fire safety legislation such as The Fire Precautions Act, Licensing Act and Housing Acts with a single Order.     It has abolished the requirement for certain premises to hold a fire certificate and instead requires any person who exercises some level of control in any non-domestic premises to take reasonable steps to reduce the risk from fire and ensure occupants can safely escape if a fire does occur.      The main enforcing body is the Fire Authority; they have the power to issue three types of notices to premises not complying. "
Retention_Reason,NMC Guidance,
Retention_Reason,Statutory - Ionising Radiation Regulation 1999,
Retention_Reason,Commissioning Code of Practice,
Retention_Reason,Companies Act,NULL
Retention_Reason,Data Protection Act,The Data Protection Act 1998 controls how personal data is used by organisations. It sets out a framework of rights and duties designed to balance an individual's right to information privacy and the needs of others to use people's details. Personal data is any information that relates to a living individual who can be identified from the information.
Retention_Reason,Finance Act,
Retention_Reason,Freedom Of Information Act,The Freedom of Information Act 2000 provides public access to information held by public authorities. <p></p>    There are some exemptions to the Act and not all the information held by the BBC is covered by the Act.
Retention_Reason,Value Added Tax Act,NULL
Retention_Reason,Taxes Management Act,NULL
Retention_Reason,Control of Substances Hazardous to Health Regulations,"Regulations (COSHH) require employers to assess and prevent (or adequately control) the risks to health from the use of any hazardous substances in the workplace.<p></p>     A hazardous substance is one which has to by law be labelled as 'very toxic', 'toxic', 'harmful', 'irritant' or 'corrosive'. It includes chemical substances such as paints and cleaning materials, as well as wood dust.<p></p> "
Retention_Reason,Pensions Act 1995,NULL
Retention_Reason,Legal,"Retain in case of legal action, or because of pending legal action. Retain for statutory reasons or legal compliance or for contractual reasons.    "
Retention_Reason,Charter and Agreement,"The Royal Charter is the constitutional basis for the BBC. It sets out the public purposes of the BBC, guarantees its independence, and outlines the duties of the Trust and the Executive Board.<p></p>     The Agreement with the Secretary of State sits alongside the Charter. It provides detail on many of the topics outlined in the Charter and also covers the BBC's funding and its regulatory duties."
Retention_Reason,Copyright Designs and Patents Act,NULL
Retention_Reason,Health and Safety at Work Act 1974,"The main piece of legislation affecting the management of health and safety in educational establishments across all sectors is the Health and Safety at Work, etc Act 1974 (HSWA). This Act provides a framework for ensuring the health and safety of all employees in any work activity. It also provides for the health and safety of anyone who may be affected by work activities   "
Retention_Reason,Management of Health and Safety at Work Regulations 1999,"Management Regulations generally make more explicit what employers are required to do to manage health and safety under the Health and Safety at Work Act. Risk assessments, competent people, information and training"
Retention_Reason,Limitation Act, 
Retention_Reason,Local Copies,Held for local or business reference only
Retention_Reason,Independent Commissioning Policy, 
Retention_Reason,Health and Safety (DSE) Regulations 1992,"These regulations oblige employers to assess the workstations of staff who use display screen equipment (DSE). The workstation is the equipment itself, its accessories and the surrounding work environment."
Retention_Reason,Reporting of Injuries Diseases and Dangerous Occurrences,"RIDDOR require certain work-related accidents are reportable by law to the Health and Safety Executive. The following must be reported:  • death of any person  • a 'major injury' to any person at work  • hospital treatment of any person who is not at work an accident which results in a person at work being incapacitated for more than three consecutive days (excluding the day of the accident)  • specified dangerous occurrences, eg building collapse  • specified work-related diseases, eg mesothelioma and hepatitis.  "
Retention_Reason,Safety Representatives and Safety Committees 1977, 
Retention_Reason,Construction (Design and Management) Regulations 1994,"Covers the planning and management of construction projects. <p></p>     There is a duty on those involved in a construction project, such as the controller of buildings, contractors and designers to cooperate with each other to identify risks early on, and to report matters that are likely to endanger health and safety.<p></p>     There is also a duty to take appropriate measures to prevent the risk of injury to any person during the construction, which would include staff, and visitors to the premises.    "
Retention_Reason,Personal Protective Equipment at Work Regulations 2002, Requires employers to provide appropriate protective clothing and equipment for their employees
Retention_Reason,"Workplace (Health, Safety and Welfare) Regulations 1992",Deals with the physical conditions in the workplace.    
Retention_Reason,Occupational Health Protocol, 
Retention_Reason,Control of Asbestos Regulations 2006,"The regulations place specific duties on employers, owners and those in control of buildings to manage the risks from asbestos fibres that may be released when building or maintenance work takes place.    "
Retention_Reason,Lifting Operations and Lifting Equipment Regulations 1998, 
Retention_Reason,BBC Best Practice,Ensures interests of BBC are taken into account
Retention_Reason,Business Need,"Needed for the operational requirements of BBC, Division, Department or Team. Includes current use and potential future use for research, precedent, use as a template or proof of a decision."
Retention_Reason,Statutory, 
Retention_Reason,Law Society Regulations, 
Retention_Reason,Codes of Practice,"External and/or internal.  BBC decision based on Records management practice, GMC, DOH, NHS, HSE, controlling noise at work"
Security_Title,Public Access,"Information, material and documents which are available to the general public via the internet or are published in hard copy. May be available through the BBC FOI Publication Scheme.    Such Public data will probably still have some restrictions applied (i.e. to maintain integrity and trust, only authorised individuals can publish content or can change it)."
Security_Title,Restricted Access,"Information, material and documents which are of a highly sensitive nature. Includes personal data, bank accounts, health records, contracts, data covered by NDAs, commercially-sensitive data, journalistic and factual programming material including, but not limited to: emails, contacts, scripts, notes, rushes, correspondence, research data.    This data must, for legal reasons, be strongly protected from incidents affecting confidentiality, integrity or availability. Access must be limited to a small set of systems or people. General IT solutions, commercial products and normal operational practices are inadequate without additional policies and capabilities.     Unauthorised access could cause major  embarrassment, loss or interruption of services and have legal, reputation, financial, implications. May cause review of processes/procedures or enforce change within BBC.     May be out of scope of the FOI Act and some may be subject to FOI exemptions.                              "
Security_Title,Editorially Sensitve,"This data must, for compliance, journalistic, time-sensitivity, reputational or business reasons, be protected from incidents affecting confidentiality, integrity or availability. Access must be limited to a small set of systems or people. General IT solutions, commercial products and normal operational practices are inadequate without additional policies and capabilities.  High level of sensitivity with high risk of reputational damage or regulatory breach.  The BBC has an editorial need to protect the data, especially sources and breaking stories.  Unauthorised access: is likely to embarrass the BBC by loss, interruption or disclosure; would be newsworthy to public as well as competitors; could cause loss or interruption of service and embarrass BBC.  Access restricted to employees and third parties who have a business need, delegated access privileges  Journalistic and factual programming material including, but not limited to: emails, contacts, scripts, notes, rushes, correspondence, research data."
Security_Title,Non-Restricted,"Information, material and documents with medium level of sensitivity. Unauthorised access could cause minor embarrassment to BBC. Includes the majority of current and legacy data.    Acessible to employees, third parties who have a business need, and delegated access privileges.      "
Security_Title,Medical in Confidence,"Records that are restricted to people who have a medical care role (nurse, doctor) and to the individual member of staff; they may not be made available to anyone else, either inside or outside the Corporation, without the patient's express informed consent, normally in writing.  "
Action_On_Expiry,Non-BBC Intellectual Property,BBC doesn't hold the rights for this material
Action_On_Expiry,Freedom of Information Act,
Action_On_Expiry,Reuse or Historical,"Potential reuse pan-BBC for research, repeats, sales, promotions.    Retain for heritage, cultural or future research."
Action_On_Expiry,Production Need,"Potential re-use value for reversioning or research, or ongoing need to retain by originating production department"
Action_On_Expiry,Editorial Compliance,The BBC ensures high ethical and editorial standards in all its output by requiring production staff to adhere to the BBC Editorial Guidelines which incorporate the relevant sections of the OFCOM Broadcasting Code.     The BBC needs to demonstrate that it has a robust compliance process. 
Action_On_Expiry,BBC Best Practice,In accordance with best practice as defined by the BBC
Action_On_Expiry,Possible Historical Interest,"May be of heritage, cultural or future research value. Should be reviewed according to appropriate criteria."
Action_On_Expiry,Superseded,Replaced by newer version
Action_On_Expiry,Data Protection Act, 
Action_On_Expiry,Reuse,"Potential reuse pan-BBC for research, repeats, sales, promotions."
Action_On_Expiry,Local Copies,These are not the master copies but local versions held for ease of reference and can be disposed of when no longer required (but not longer than master)
Action_On_Expiry,Legal,"Retain in case of legal action, or because of pending legal action. Retain for statutory reasons or legal compliance"
Action_On_Expiry,No Further Value,"Of no further use to the BBC, department, team."
Action_On_Expiry,Business Need,"Needed for the operational requirements of BBC, Division, Department or Team. Includes current use and potential future use for research, precedent, use as a template or proof of a decision."
Action_On_Expiry,Historical,"Retain for heritage, cultural or future research."
Reason_For_Action,Non-BBC Intellectual Property,BBC doesn't hold the rights for this material
Reason_For_Action,Freedom of Information Act,
Reason_For_Action,Reuse or Historical,"Potential reuse pan-BBC for research, repeats, sales, promotions.    Retain for heritage, cultural or future research."
Reason_For_Action,Production Need,"Potential re-use value for reversioning or research, or ongoing need to retain by originating production department"
Reason_For_Action,Editorial Compliance,The BBC ensures high ethical and editorial standards in all its output by requiring production staff to adhere to the BBC Editorial Guidelines which incorporate the relevant sections of the OFCOM Broadcasting Code.     The BBC needs to demonstrate that it has a robust compliance process. 
Reason_For_Action,BBC Best Practice,In accordance with best practice as defined by the BBC
Reason_For_Action,Possible Historical Interest,"May be of heritage, cultural or future research value. Should be reviewed according to appropriate criteria."
Reason_For_Action,Superseded,Replaced by newer version
Reason_For_Action,Data Protection Act, 
Reason_For_Action,Reuse,"Potential reuse pan-BBC for research, repeats, sales, promotions."
Reason_For_Action,Local Copies,These are not the master copies but local versions held for ease of reference and can be disposed of when no longer required (but not longer than master)
Reason_For_Action,Legal,"Retain in case of legal action, or because of pending legal action. Retain for statutory reasons or legal compliance"
Reason_For_Action,No Further Value,"Of no further use to the BBC, department, team."
Reason_For_Action,Business Need,"Needed for the operational requirements of BBC, Division, Department or Team. Includes current use and potential future use for research, precedent, use as a template or proof of a decision."
Reason_For_Action,Historical,"Retain for heritage, cultural or future research."
Appraisal_Criteria,Childrens - correspondence,Retain if ongoing such as Blue Peter badge holder correspondence.    
Appraisal_Criteria,Contributor Consent Forms,"Retain permanently for productions with high clip re-use such as Motion Gallery, Discovery."
Appraisal_Criteria,Correspondents notes ,"Key correspondents notes held in ENPS personal folders are likely to be of high archival value. These should be appraised taking into account potential re-use within programmes and historical value.  Historical value may be based on significance of event or the individual concerned.  Look for significant events, e.g. Hutton - important figures and revealing interviews.   Content from agenda setting programmes such as Today and Breakfast with Frost are of particular interest.  "
Appraisal_Criteria,Interview transcripts,"Look for significant events, e.g. Hutton - important figures and revealing interviews.   Content from agenda setting programmes such as Today and Breakfast with Frost are of particular interest.  "
Appraisal_Criteria, No Appraisal Criteria at present,
Appraisal_Criteria,Competitions and Voting,"Retain if required for audit for skill levels of competition.  All relevant data regarding votes  and competition entries from callers by means of Controlled Premium Rate Services and all documentation regarding the verification of its systems and the reviews of individual programmes, should be retained for 2 years and then destroyed. Unless there is an ongoing legal action. Children's competition infomation should be destroyed after 6 months."
